ï»¿,,,,,,,,,,,,
,,,,,,,,,,,,
Year,State,County/ Congressional District,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients**
16,TX,MORRIS,"1,051","$10,234 ","$6,321 ", $- ,$234 , $- , $- ,$6 ,"$3,672 ",401
16,TX,MOTLEY,71,"$1,157 ",$689 , $- ,$18 , $- , $- ,$11 ,$440 ,78
16,TX,NACOGDOCHES,"3,390","$30,443 ","$18,095 ", $- ,"$2,730 ", $- , $- ,$212 ,"$9,405 ","1,092"
16,TX,NAVARRO,"3,086","$29,076 ","$16,205 ", $- ,$898 , $- , $- ,$204 ,"$11,770 ","1,062"
16,TX,NEWTON,"1,147","$7,868 ","$4,716 ", $- ,$322 , $- , $- ,$21 ,"$2,809 ",373
16,TX,NOLAN,"1,019","$7,948 ","$4,634 ", $- ,$308 , $- , $- ,$29 ,"$2,977 ",280
16,TX,NUECES,"27,454","$227,178 ","$148,412 ", $- ,"$22,556 ", $- , $- ,"$1,998 ","$54,211 ","7,066"
16,TX,OCHILTREE,405,"$1,796 ",$977 , $- ,$136 , $- , $- ,$84 ,$599 ,102
16,TX,OLDHAM,133,"$1,056 ",$718 , $- ,$26 , $- , $- ,$0 ,$311 ,24
16,TX,ORANGE,"6,976","$51,932 ","$34,510 ", $- ,"$2,635 ", $- , $- ,$283 ,"$14,503 ","1,977"
16,TX,PALO PINTO,"2,023","$17,020 ","$9,929 ", $- ,$769 , $- , $- ,$66 ,"$6,256 ",578
16,TX,PANOLA,"1,608","$12,301 ","$6,184 ", $- ,$483 , $- , $- ,$97 ,"$5,538 ",553
16,TX,PARKER,"10,230","$70,086 ","$42,796 ", $- ,"$6,122 ", $- , $- ,$408 ,"$20,759 ","2,545"
16,TX,PARMER,332,"$1,449 ",$872 , $- ,$76 , $- , $- ,$33 ,$468 ,89
16,TX,PECOS,765,"$4,032 ","$2,148 ", $- ,$190 , $- , $- ,$27 ,"$1,668 ",169
16,TX,POLK,"3,861","$46,901 ","$26,793 ", $- ,$936 , $- , $- ,$331 ,"$18,840 ","1,859"
16,TX,POTTER,"6,489","$106,504 ","$31,163 ","$3,529 ","$2,572 ", $- ,$581 ,$290 ,"$68,368 ","3,391"
16,TX,PRESIDIO,294,"$1,904 ","$1,432 ", $- ,$51 , $- , $- ,$6 ,$415 ,67
16,TX,RAINS,"1,168","$9,050 ","$4,956 ", $- ,$306 , $- , $- ,$364 ,"$3,425 ",332
16,TX,RANDALL,"8,040","$80,372 ","$38,996 ", $- ,"$5,049 ", $- , $- ,$545 ,"$35,782 ","3,552"
16,TX,REAGAN,117,$577 ,$429 , $- ,$68 , $- , $- ,$0 ,$80 ,12
16,TX,REAL,385,"$4,038 ","$1,790 ", $- ,$15 , $- , $- ,$79 ,"$2,154 ",168
16,TX,RED RIVER,958,"$9,275 ","$5,415 ", $- ,$161 , $- , $- ,$45 ,"$3,654 ",345
16,TX,REEVES,446,"$3,595 ","$1,851 ", $- ,$42 , $- , $- ,$16 ,"$1,686 ",167
16,TX,REFUGIO,524,"$4,624 ","$3,455 ", $- ,$227 , $- , $- ,$25 ,$918 ,161
16,TX,ROBERTS,48,$321 ,$153 , $- ,$1 , $- , $- , $- ,$167 ,21
16,TX,ROBERTSON,"1,010","$10,434 ","$5,149 ", $- ,$329 , $- , $- ,$57 ,"$4,899 ",407
16,TX,ROCKWALL,"5,917","$44,408 ","$29,182 ", $- ,"$4,436 ", $- , $- ,$376 ,"$10,414 ","1,161"
16,TX,RUNNELS,797,"$6,242 ","$4,066 ", $- ,$160 , $- , $- ,$61 ,"$1,954 ",211
16,TX,RUSK,"3,366","$22,782 ","$12,299 ", $- ,$975 , $- , $- ,$152 ,"$9,355 ",949
16,TX,SABINE,"1,236","$9,438 ","$6,092 ", $- ,$99 , $- , $- ,$45 ,"$3,201 ",419
16,TX,SAN AUGUSTINE,695,"$6,059 ","$3,207 ", $- ,$151 , $- , $- ,$20 ,"$2,681 ",274
16,TX,SAN JACINTO,"2,309","$17,086 ","$6,798 ", $- ,$373 , $- , $- ,$74 ,"$9,840 ",820
16,TX,SAN PATRICIO,"5,191","$45,759 ","$32,304 ", $- ,"$3,363 ", $- , $- ,$307 ,"$9,784 ","1,307"
16,TX,SAN SABA,382,"$2,371 ","$1,309 ", $- ,$9 , $- , $- ,$10 ,"$1,042 ",119
16,TX,SCHLEICHER,189,$762 ,$586 , $- ,$6 , $- , $- ,$20 ,$149 ,23
16,TX,SCURRY,836,"$5,139 ","$2,983 ", $- ,$139 , $- , $- ,$32 ,"$1,985 ",241
16,TX,SHACKELFORD,218,"$1,598 ",$908 , $- ,$83 , $- , $- ,$5 ,$601 ,65
16,TX,SHELBY,"1,490","$10,643 ","$5,019 ", $- ,$306 , $- , $- ,$58 ,"$5,260 ",416
16,TX,SHERMAN,146,$567 ,$286 , $- , $- , $- , $- ,$0 ,$281 ,32
16,TX,SMITH,"14,431","$104,540 ","$62,355 ", $- ,"$7,299 ", $- , $- ,"$1,124 ","$33,763 ","4,013"
